id,name,area,sub,skill_type,desc
ENG-PRC-016,Process Capability Analysis,Engineering & R&D,Process Engineering,Technical,Has foundational knowledge of process capability analysis and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ENG-PRO-005,Prototype Development,Engineering & R&D,Prototyping & Testing,Technical,Has foundational knowledge of prototype development and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ENG-PRO-006,Testing & Validation,Engineering & R&D,Prototyping & Testing,Technical,Has foundational knowledge of testing & validation and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ENG-PRO-007,Failure Analysis,Engineering & R&D,Prototyping & Testing,Technical,Has foundational knowledge of failure analysis and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ENG-PRO-008,Material Selection,Engineering & R&D,Prototyping & Testing,Technical,Has foundational knowledge of material selection and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ESG-EM-004,Air Emissions Monitoring,Environmental & Sustain,Emissions & Resources,Technical,Has foundational knowledge of air emissions monitoring and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ESG-EM-005,Water Management & Compliance,Environmental & Sustain,Emissions & Resources,Technical,Has foundational knowledge of water management & compliance and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ESG-EM-006,Energy Management,Environmental & Sustain,Emissions & Resources,Operational,Optimizes processes and sets organizational standards for energy management. Supports energy reduction initiatives and reports on efficiency improvements. Identifies improvement opportunities
ESG-EM-007,Carbon Footprint Tracking,Environmental & Sustain,Emissions & Resources,Technical,Has foundational knowledge of carbon footprint tracking and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ESG-ESG-008,Sustainability Goal Setting & Tracking,Environmental & Sustain,Sustainability Programs,Operational,Understands the purpose and basic steps involved in sustainability goal setting & tracking. Can complete routine tasks with clear instructions and support from experienced team members.
ESG-ESG-009,ESG Reporting & Disclosure,Environmental & Sustain,Sustainability Programs,Technical,Has foundational knowledge of esg reporting & disclosure and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ESG-ESG-010,Sustainable Procurement Support,Environmental & Sustain,Sustainability Programs,Behavioral,Recognizes the importance of sustainable procurement support and understands what good practice looks like. Demonstrates this behavior in familiar situations and seeks feedback to improve.
ESG-ESG-011,Employee Sustainability Engagement,Environmental & Sustain,Sustainability Programs,Behavioral,Recognizes the importance of employee sustainability engagement and understands what good practice looks like. Demonstrates this behavior in familiar situations and seeks feedback to improve.
ESG-PER-012,Environmental Permit Management,Environmental & Sustain,Environmental Permits,Operational,Optimizes processes and sets organizational standards for environmental permit management. Ensures permit conditions are communicated to operational teams. Identifies improvement opportunities
ESG-PER-013,Environmental Inspection Readiness,Environmental & Sustain,Environmental Permits,Operational,Understands the purpose and basic steps involved in environmental inspection readiness. Can complete routine tasks with clear instructions and support from experienced team members.
ESG-PER-014,Spill Prevention & Response Planning,Environmental & Sustain,Environmental Permits,Safety,Understands the importance of spill prevention & response planning and can describe why it matters for workplace safety. Follows basic safety procedures with direct supervision and asks questions when unsure.
ESG-RPT-015,Environmental Data Collection & Reporting,Environmental & Sustain,Environmental Data,Operational,Optimizes processes and sets organizational standards for environmental data collection & reporting. Ensures data meets accuracy and timeliness requirements. Identifies improvement opportunities
ESG-RPT-016,Environmental Mgmt System Support,Environmental & Sustain,Environmental Data,Operational,Understands the purpose and basic steps involved in environmental mgmt system support. Can complete routine tasks with clear instructions and support from experienced team members.
ESG-RPT-017,Life Cycle Assessment Awareness,Environmental & Sustain,Environmental Data,Technical,Has foundational knowledge of life cycle assessment awareness and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
ESG-RPT-018,Remediation & Corrective Action Support,Environmental & Sustain,Environmental Data,Behavioral,Understands the purpose and basic steps involved in remediation & corrective action support. Can complete routine tasks with clear instructions and support from experienced team members.
ESG-WM-001,Waste Stream Management,Environmental & Sustain,Waste Management,Operational,Understands the purpose and basic steps involved in waste stream management. Can complete routine tasks with clear instructions and support from experienced team members.
ESG-WM-002,Waste Reduction & Diversion,Environmental & Sustain,Waste Management,Operational,Optimizes processes and sets organizational standards for waste reduction & diversion. Tracks diversion metrics and reports progress toward waste reduction goals. Identifies improvement opportunities
ESG-WM-003,Hazardous Waste Compliance,Environmental & Sustain,Waste Management,Technical,Has foundational knowledge of hazardous waste compliance and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
FAC-EQP-001,Equipment Troubleshooting (Facilities),Facilities,Equipment Maintenance & Repair,Technical,and reference materials. Escalates complex issues appropriately.
FAC-EQP-002,Minor Repairs,Facilities,Equipment Maintenance & Repair,Technical,or building systems within skill and safety limits.
FAC-EQP-003,Repair Documentation (Facilities),Facilities,Equipment Maintenance & Repair,Operational,and outcomes. Ensures traceability and compliance with maintenance standards.
FAC-OPS-001,Facility Walkthroughs,Facilities,Facility Operations,Operational,or maintenance needs. Documents findings clearly.
FAC-OPS-002,Building Systems Monitoring,Facilities,Facility Operations,Technical,and electrical. Identifies abnormalities and escalates concerns.
FAC-OPS-003,Space & Layout Support,Facilities,Facility Operations,Operational,and space utilization improvements. Ensures safety and efficiency.
FAC-PM-001,Preventive Maintenance Scheduling,Facilities,Preventive Maintenance,Operational,Follows preventive maintenance schedules for equipment and building systems. Ensures timely completion and documentation.
FAC-PM-002,Equipment Lubrication & Care,Facilities,Preventive Maintenance,Technical,and basic care of equipment to extend lifespan and prevent breakdowns.
FAC-PM-003,Inspection & Testing,Facilities,Preventive Maintenance,Technical,v1.0 ⭐ ⭐ EQUIPMENT MAINTENANCE & REPAIR (EQP)
FAC-SAFE-001,Facility Safety Checks,Facilities,Safety & Environmental Alignment,Operational,Understands the purpose and basic steps involved in facility safety checks. Can complete routine tasks with clear instructions and support from experienced team members.
FAC-SAFE-002,Emergency Equipment Maintenance,Facilities,Safety & Environmental Alignment,Technical,Has foundational knowledge of emergency equipment maintenance and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
FAC-SAFE-003,Environmental Compliance (Facilities),Facilities,Safety & Environmental Alignment,Operational,v1.0 Tier 3 — Supply Chain Planning Tier 3 — Supply Chain Planning
FAC-VEND-001,Vendor Scheduling,Facilities,Vendor & Contractor Coordination,Behavioral,or services. Ensures access and readiness.
FAC-VEND-002,Service Verification,Facilities,Vendor & Contractor Coordination,Operational,Verifies that vendor or contractor work meets expectations and requirements. Escalates issues promptly.
FAC-VEND-003,Contracted Service Documentation,Facilities,Vendor & Contractor Coordination,Operational,v1.0 ⭐ ⭐ SAFETY & ENVIRONMENTAL ALIGNMENT (SAFE)
FAC-WO-001,Work Order Prioritization,Facilities,Work Order Management,Operational,and operational impact. Communicates timelines clearly.
FAC-WO-002,Work Order Execution,Facilities,Work Order Management,Operational,Completes assigned work orders accurately and efficiently. Ensures proper documentation and follow‑through.
FAC-WO-003,CMMS Usage,Facilities,Work Order Management,Technical,v1.0 ⭐ ⭐ VENDOR & CONTRACTOR COORDINATION (VEND)
FIN-AP-001,Invoice Processing,Finance & Accounting,Accounts Payable,Operational,and processes vendor invoices accurately and on time. Ensures proper coding and documentation.
FIN-AP-002,Payment Execution,Finance & Accounting,Accounts Payable,Operational,Prepares and executes payments according to schedule and policy. Ensures accuracy and prevents duplicate or unauthorized payments.
FIN-AP-003,Vendor Reconciliation,Finance & Accounting,Accounts Payable,Behavioral,Reconciles vendor statements and resolves discrepancies. Maintains positive vendor relationships through timely communication.
FIN-AR-001,Customer Billing,Finance & Accounting,Accounts Receivable,Operational,Prepares and issues accurate customer invoices. Ensures billing aligns with contracts
FIN-AR-002,Collections Management,Finance & Accounting,Accounts Receivable,Behavioral,Monitors outstanding balances and follows up with customers to ensure timely payment. Maintains professional communication.
FIN-AR-003,Cash Application,Finance & Accounting,Accounts Receivable,Operational,Applies customer payments accurately to accounts. Identifies and resolves unapplied or misapplied payments.
FIN-BUD-001,Budget Preparation Support,Finance & Accounting,Budgeting & Forecasting,Operational,Understands the purpose and basic steps involved in budget preparation support. Can complete routine tasks with clear instructions and support from experienced team members.
FIN-BUD-002,Forecasting Support,Finance & Accounting,Budgeting & Forecasting,Operational,and business insights. Ensures accuracy and timely delivery.
FIN-BUD-003,Financial Modeling,Finance & Accounting,Budgeting & Forecasting,Technical,Builds and maintains financial models to support planning and decision‑making. Ensures models are accurate and well‑documented.
FIN-CTRL-001,Control Execution,Finance & Accounting,Internal Controls & Compliance,Operational,and segregation of duties. Ensures compliance and reduces risk.
FIN-CTRL-002,Compliance Documentation,Finance & Accounting,Internal Controls & Compliance,Operational,Maintains accurate documentation for compliance and audit readiness. Ensures records meet regulatory and internal standards.
FIN-CTRL-003,Financial Risk Identification,Finance & Accounting,Internal Controls & Compliance,Behavioral,Identifies financial risks and escalates concerns promptly. Supports mitigation planning and continuous improvement.
FIN-GA-001,Journal Entry Preparation,Finance & Accounting,General Accounting,Operational,Prepares accurate journal entries with proper documentation. Ensures entries comply with accounting standards and internal controls.
FIN-GA-002,Account Reconciliation,Finance & Accounting,General Accounting,Operational,Reconciles balance sheet accounts and resolves discrepancies. Ensures accuracy and completeness of financial data.
FIN-GA-003,Month‑End Close Support,Finance & Accounting,General Accounting,Operational,and reporting. Ensures deadlines are met with accuracy.
FIN-PAY-001,Payroll Processing,Finance & Accounting,Payroll,Operational,Processes payroll accurately and on schedule. Ensures compliance with tax laws
FIN-PAY-002,Time & Attendance Validation,Finance & Accounting,Payroll,Operational,and exceptions for accuracy. Coordinates with leaders to resolve discrepancies.
FIN-PAY-003,Payroll Reporting,Finance & Accounting,Payroll,Operational,and compliance needs. Ensures accuracy and confidentiality.
FIN-RPT-001,Financial Statement Preparation,Finance & Accounting,Financial Reporting,Operational,Supports preparation of financial statements in accordance with GAAP. Ensures accuracy
FIN-RPT-002,Variance Analysis,Finance & Accounting,Financial Reporting,Behavioral,Analyzes financial results and identifies drivers of variances. Communicates insights to leaders clearly and concisely.
FIN-RPT-003,Financial Audit Support,Finance & Accounting,Financial Reporting,Operational,Prepares documentation and responds to auditor requests. Ensures timely and accurate support for internal and external audits.
HR-BEN-001,Benefits Administration,HR,Benefits & Compensation,Operational,and inquiries related to benefits programs. Ensures accuracy and compliance with plan rules.
HR-BEN-002,Leave Management,HR,Benefits & Compensation,Operational,and company policies. Ensures timely communication and documentation.
HR-BEN-003,Compensation Support,HR,Benefits & Compensation,Operational,and pay adjustments. Ensures decisions align with policy and market data.
HR-COMP-001,Regulatory Compliance Monitoring,HR,HR Compliance,Operational,Monitors compliance with employment laws and regulations. Escalates risks and supports corrective actions.
HR-COMP-002,Recordkeeping & Documentation,HR,HR Compliance,Operational,Understands the purpose and basic steps involved in recordkeeping & documentation. Can complete routine tasks with clear instructions and support from experienced team members.
HR-COMP-003,Policy Administration,HR,HR Compliance,Behavioral,and maintenance of HR policies. Ensures employees understand expectations and updates.
HR-DATA-001,HRIS Data Entry & Maintenance,HR,HR Data & Reporting,Operational,Enters and maintains accurate employee data in the HRIS. Ensures data integrity and compliance with privacy standards.
HR-DATA-002,HR Reporting,HR,HR Data & Reporting,Operational,and compliance metrics. Ensures accuracy and clarity for decision‑making.
HR-DATA-003,Data Privacy & Confidentiality,HR,HR Data & Reporting,Behavioral,Handles sensitive employee information responsibly and securely. Ensures compliance with privacy laws and company policies.
HR-ER-001,Policy Interpretation,HR,Employee Relations,Behavioral,Interprets HR policies and provides guidance to employees and leaders. Ensures consistent and fair application across the organization.
HR-ER-002,Conflict Resolution Support,HR,Employee Relations,Behavioral,Supports employees and leaders in resolving workplace conflicts. Facilitates conversations that promote understanding and alignment.
HR-ER-003,Investigation Support,HR,Employee Relations,Operational,Assists with fact‑finding and documentation during employee relations investigations. Maintains confidentiality and neutrality.
HR-ONB-001,New Hire Onboarding Coordination,HR,Onboarding & Offboarding,Behavioral,and orientation. Ensures new hires feel welcomed and supported.
HR-ONB-002,Employment Eligibility Verification,HR,Onboarding & Offboarding,Operational,Completes I‑9 and other required documentation accurately and on time. Ensures compliance with federal and state regulations.
HR-ONB-003,Offboarding Process Execution,HR,Onboarding & Offboarding,Operational,and exit communication. Ensures a respectful and compliant process.
HR-TA-001,Job Posting & Requisition Management,HR,Talent Acquisition,Operational,Creates and manages job postings that accurately reflect role requirements. Coordinates requisition approvals and ensures postings follow policy.
HR-TA-002,Candidate Screening,HR,Talent Acquisition,Behavioral,Reviews applications and conducts initial screenings to assess qualifications and fit. Ensures a fair and consistent evaluation process.
HR-TA-003,Interview Coordination,HR,Talent Acquisition,Operational,and ensures a smooth candidate experience. Communicates clearly and professionally throughout the process.
HR-TA-004,Offer & Hiring Process Support,HR,Talent Acquisition,Operational,and supports hiring managers through the selection process. Ensures compliance with policies and laws.
HR-WFP-001,Workforce Data Analysis,HR,Workforce Planning & Support,Operational,and skill gaps. Provides insights to support planning and decision‑making.
HR-WFP-002,Staffing Coordination,HR,Workforce Planning & Support,Behavioral,Supports leaders in planning staffing needs and coordinating hiring or internal movement. Ensures alignment with business priorities.
HR-WFP-003,Succession & Talent Pipeline Support,HR,Workforce Planning & Support,Behavioral,Assists with identifying high‑potential employees and supporting development plans. Ensures documentation and follow-through.
IEM-DOC-001,Production Documentation,Mfg Operations,Documentation & Reporting,Operational,and process information accurately. Ensures documentation is complete and compliant with organizational standards.
IEM-DOC-002,Traceability Documentation,Mfg Operations,Documentation & Reporting,Operational,and production steps. Supports traceability requirements for quality and compliance.
IEM-DOC-003,Change Request Documentation,Mfg Operations,Documentation & Reporting,Operational,Documents issues or improvement opportunities that require engineering review. Submits clear
IEM-EQM-001,Basic Equipment Troubleshooting,Mfg Operations,Equipment & Maintenance,Technical,Identifies simple equipment issues and performs basic troubleshooting steps. Escalates complex problems to maintenance or supervisors as needed.
IEM-EQM-002,Preventive Maintenance Support,Mfg Operations,Equipment & Maintenance,Technical,or inspection. Supports equipment reliability by following maintenance schedules.
IEM-EQM-003,Equipment Care and Cleaning,Mfg Operations,Equipment & Maintenance,Operational,safe condition. Follows cleaning procedures to support equipment performance and longevity.
IEM-LEAN-001,Lean Manufacturing Awareness,Mfg Operations,Lean & Efficiency,Operational,and value. Applies lean principles to improve efficiency and reduce non‑value‑added activities.
IEM-LEAN-002,5S Practices,Mfg Operations,Lean & Efficiency,Operational,and efficient workspace using 5S principles. Supports workplace safety and productivity through consistent organization.
IEM-LEAN-003,Waste Reduction Practices,Mfg Operations,Lean & Efficiency,Operational,or excess motion. Takes action to reduce waste and improve process efficiency.
IEM-MFI-001,Material Staging,Mfg Operations,Material Flow & Inventory,Operational,Stages materials in the correct locations to support efficient production flow. Verifies material accuracy and availability before beginning work.
IEM-MFI-002,Inventory Accuracy Support,Mfg Operations,Material Flow & Inventory,Operational,and reports material usage to maintain accurate inventory records. Helps prevent shortages and production delays.
IEM-MFI-003,Stock Rotation,Mfg Operations,Material Flow & Inventory,Operational,Uses FIFO or other rotation methods to ensure proper material usage. Helps prevent waste and maintain material quality.
IEM-PROD-001,Production Workflow Execution,Mfg Operations,Production Operations,Operational,Follows defined production steps to complete work orders accurately and efficiently. Maintains consistency and quality while meeting daily production targets.
IEM-PROD-002,Assembly Procedures,Mfg Operations,Production Operations,Technical,Has foundational knowledge of assembly procedures and can describe its purpose and key concepts. Performs basic tasks in this area with guidance and supervision from experienced team members.
IEM-PROD-003,Machine Operation,Mfg Operations,Production Operations,Technical,Operates manufacturing equipment safely and efficiently according to established procedures. Monitors machine performance and identifies issues requiring adjustment or maintenance.
IEM-PROD-004,Equipment Setup,Mfg Operations,Production Operations,Technical,and verifying readiness. Ensures setup accuracy to prevent defects and downtime.
IEM-PROD-005,Equipment Shutdown,Mfg Operations,Production Operations,Operational,Safely powers down machines and secures equipment following established protocols. Performs basic cleaning or resets to prepare for the next shift or task.
IEM-PROD-006,Material Handling,Mfg Operations,Production Operations,Operational,and organizes materials to support production flow. Uses proper techniques and equipment to prevent damage and ensure safety.
IEM-PROD-007,Work Order Interpretation,Mfg Operations,Production Operations,Operational,and production documentation. Uses this information to complete tasks accurately and meet specifications.
IEM-PROD-008,Blueprint and Drawing Reading,Mfg Operations,Production Operations,Technical,and diagrams to guide production tasks. Identifies dimensions
IEM-PROD-009,Tool Use and Care,Mfg Operations,Production Operations,Technical,Uses hand tools and power tools safely and effectively to complete production tasks. Maintains tools in good condition and reports issues promptly.
IEM-PROD-010,Line Balancing Awareness,Mfg Operations,Production Operations,Operational,Understands how tasks are distributed across a production line to maintain flow. Adjusts work pace or supports adjacent tasks to prevent bottlenecks.
IEM-QA-001,Quality Check Execution,Mfg Operations,Quality & Inspection,Technical,Performs in‑process and final inspections to verify product quality. Uses measurement tools and checklists to ensure compliance with specifications.
IEM-QA-002,Defect Identification (Production),Mfg Operations,Quality & Inspection,Technical,or abnormalities in materials or finished products. Reports issues promptly to prevent downstream quality problems.
IEM-QA-003,Rework Procedures,Mfg Operations,Quality & Inspection,Technical,Completes rework tasks according to defined instructions to correct defects. Ensures reworked items meet quality standards before release.
IEM-QA-004,Measurement Tools Use,Mfg Operations,Quality & Inspection,Technical,and other measurement tools accurately. Verifies dimensions and tolerances to support quality control.
IEM-SAFE-001,Safety Protocol Adherence,Mfg Operations,Safety & Compliance,Safety,and hazard controls. Identifies unsafe conditions and takes action to prevent incidents.
IEM-SAFE-002,Lockout/Tagout Awareness,Mfg Operations,Safety & Compliance,Safety,Understands the purpose and basic steps of lockout/tagout procedures. Recognizes when LOTO is required and seeks authorized support when needed.
IEM-SAFE-003,Chemical Handling Awareness,Mfg Operations,Safety & Compliance,Safety,and organizational procedures. Uses proper PPE and storage methods to reduce risk.
IEM-SAFE-004,Ergonomics Awareness,Mfg Operations,Safety & Compliance,Safety,and movement techniques to prevent strain or injury. Identifies ergonomic risks and adjusts work practices accordingly.
IT-DATA-001,Data Encryption & Protection,IT & Cybersecurity,Data Protection & Privacy,Technical,Applies encryption and data protection techniques to safeguard sensitive information. Ensures compliance with privacy standards.
IT-DATA-002,Data Handling & Classification,IT & Cybersecurity,Data Protection & Privacy,Operational,Handles data according to classification levels and retention policies. Prevents unauthorized access or exposure.
IT-DATA-003,Data Recovery Support,IT & Cybersecurity,Data Protection & Privacy,Technical,Supports recovery of lost or corrupted data using approved tools and processes. Ensures accuracy and integrity of restored data.
IT-GOV-001,Policy Implementation,IT & Cybersecurity,Security Governance & Compliance,Operational,Applies and enforces security policies across systems and users. Ensures compliance with internal and external requirements.
IT-GOV-002,IT Audit Support,IT & Cybersecurity,Security Governance & Compliance,Operational,Prepares documentation and evidence for internal or external audits. Addresses findings and supports remediation.
IT-GOV-003,Risk Assessment (Cybersecurity),IT & Cybersecurity,Security Governance & Compliance,Technical,Identifies and evaluates security risks across systems and processes. Recommends mitigation strategies and tracks follow‑through.
IT-HW-001,Device Setup & Configuration,IT & Cybersecurity,Hardware & Device Management,Technical,and mobile devices according to company standards. Ensures proper installation of required software and security tools.
IT-HW-002,Peripheral Troubleshooting,IT & Cybersecurity,Hardware & Device Management,Technical,and other peripherals. Ensures minimal downtime for end users.
IT-HW-003,Asset Management,IT & Cybersecurity,Hardware & Device Management,Operational,Tracks and manages IT hardware inventory throughout its lifecycle. Ensures accurate records for compliance and planning.
IT-MON-001,Patch & Update Management,IT & Cybersecurity,Systems Monitoring & Maintenance,Technical,Applies system patches and updates to maintain security and performance. Verifies compatibility and monitors for issues.
IT-MON-002,System Health Monitoring,IT & Cybersecurity,Systems Monitoring & Maintenance,Technical,and alerts. Responds quickly to anomalies or failures.
IT-MON-003,Backup & Recovery Execution,IT & Cybersecurity,Systems Monitoring & Maintenance,Technical,Executes and verifies backups according to policy. Supports recovery efforts to minimize data loss and downtime.
IT-NET-001,Network Configuration,IT & Cybersecurity,Network Administration,Technical,and wireless access points following security and performance standards. Ensures stable and secure connectivity.
IT-NET-002,Network Monitoring,IT & Cybersecurity,Network Administration,Technical,or unauthorized access. Escalates risks promptly.
IT-NET-003,VPN & Remote Access Support,IT & Cybersecurity,Network Administration,Technical,Configures and supports secure remote access solutions. Ensures users can connect safely from off‑site locations.
IT-SEC-001,Access Control Principles,IT & Cybersecurity,Security Fundamentals,Technical,Applies least‑privilege and role‑based access principles. Ensures access is granted and removed according to policy.
IT-SEC-002,Secure Configuration,IT & Cybersecurity,Security Fundamentals,Technical,Configures systems and devices following security best practices. Reduces vulnerabilities through hardening techniques.
IT-SEC-003,Security Awareness Support,IT & Cybersecurity,Security Fundamentals,Behavioral,Reinforces secure behaviors among employees through guidance and reminders. Identifies risky behaviors and escalates concerns.
IT-SRV-001,Server Maintenance,IT & Cybersecurity,Server & Cloud Administration,Technical,Performs routine maintenance on physical and virtual servers. Ensures uptime
IT-SRV-002,Cloud Platform Administration,IT & Cybersecurity,Server & Cloud Administration,Technical,and configurations. Ensures secure and efficient use of cloud services.
IT-SRV-003,Identity & Access Management,IT & Cybersecurity,Server & Cloud Administration,Technical,and authentication systems. Ensures least‑privilege access and compliance with security policies.
IT-TDR-001,Threat Monitoring,IT & Cybersecurity,Threat Detection & Response,Technical,Monitors security tools for suspicious activity or alerts. Investigates anomalies and escalates threats promptly.
IT-TDR-002,Incident Response Execution,IT & Cybersecurity,Threat Detection & Response,Technical,Responds to security incidents using structured processes. Contains threats
IT-TDR-003,Malware & Phishing Response,IT & Cybersecurity,Threat Detection & Response,Technical,Identifies and mitigates malware infections or phishing attempts. Educates users on prevention and safe practices.
LEAD-CHG-001,Change Communication,Leadership,Leading Change,Behavioral,and expectations of changes clearly. Helps employees understand how changes affect their work.
LEAD-CHG-002,Change Adoption Support,Leadership,Leading Change,Behavioral,and encouragement. Identifies resistance early and addresses concerns constructively.
LEAD-CHG-003,Continuous Improvement Leadership,Leadership,Leading Change,Behavioral,Encourages teams to identify inefficiencies and propose improvements. Supports experimentation and learning from outcomes.
LEAD-COMM-001,Clear & Concise Communication,Leadership,Communication & Influence,Behavioral,direct manner. Adjusts communication style based on audience and context.
LEAD-COMM-002,Upward Communication,Leadership,Communication & Influence,Behavioral,and resource needs. Escalates issues appropriately and professionally.
LEAD-COMM-003,Influence Without Authority,Leadership,Communication & Influence,Behavioral,Builds trust and alignment across teams even without direct authority. Uses relationships and clarity to move work forward. \[⚑ Also applies to senior ICs — flagged for future Engineering Track review\]
LEAD-LC-001,Modeling Core Values,Leadership,Leading Culture,Behavioral,Recognizes the importance of modeling core values and understands what good practice looks like. Demonstrates this behavior in familiar situations and seeks feedback to improve.
LEAD-LC-002,Psychological Safety,Leadership,Leading Culture,Behavioral,and report concerns. Responds constructively to feedback and mistakes.
LEAD-LC-003,Accountability Leadership,Leadership,Leading Culture,Behavioral,consistent manner. Addresses performance issues promptly and respectfully.
LEAD-LP-001,Coaching & Feedback,Leadership,Leading People,Behavioral,constructive coaching that helps employees improve performance and confidence. Tailors feedback to individual needs while reinforcing expectations.
LEAD-LP-002,Performance Conversations,Leadership,Leading People,Behavioral,and next steps. Ensures employees understand expectations and support available.
LEAD-LP-003,Conflict Resolution (Leadership),Leadership,Leading People,Behavioral,Addresses interpersonal or operational conflicts promptly and fairly. Uses calm communication and problem-solving to restore team alignment.
LEAD-LP-004,Team Motivation,Leadership,Leading People,Behavioral,and reinforcing purpose. Adjusts motivation strategies based on team dynamics.
LEAD-STRAT-001,Prioritization & Decision Making,Leadership,Strategic Thinking & Decision Making,Behavioral,and operational realities. Communicates decisions clearly and confidently.
LEAD-STRAT-002,Risk Awareness & Mitigation,Leadership,Strategic Thinking & Decision Making,Behavioral,and customer risks before they escalate. Implements mitigation strategies and communicates them effectively.
LEAD-STRAT-003,Data-Informed Leadership,Leadership,Strategic Thinking & Decision Making,Behavioral,and trends to guide decisions and resource allocation. Ensures decisions are grounded in evidence
LEAD-TAL-001,Skill Development Support,Leadership,Talent Development,Behavioral,Identifies skill gaps and provides opportunities for employees to grow. Encourages continuous learning and development.
LEAD-TAL-002,Succession Awareness,Leadership,Talent Development,Behavioral,Recognizes emerging talent and supports readiness for future roles. Ensures continuity by developing bench strength.
LEAD-TAL-003,Coaching for Safety & Quality,Leadership,Talent Development,Behavioral,Reinforces safe and high-quality work through targeted coaching. Addresses unsafe or non-compliant behaviors immediately and constructively.
LEAD-XFN-001,Cross-Functional Team Leadership,Leadership,Cross-Functional Leadership,Behavioral,Works effectively with other departments to solve problems and coordinate work. Builds relationships that support smooth operations.
LEAD-XFN-002,Enterprise Mindset,Leadership,Cross-Functional Leadership,Behavioral,and the broader organization. Balances local needs with enterprise priorities. \[⚑ Also applies to senior ICs — flagged for future Engineering Track review\]
LEAD-XFN-003,Conflict Navigation Across Teams,Leadership,Cross-Functional Leadership,Behavioral,Addresses cross-departmental conflicts with professionalism and clarity. Facilitates alignment and shared understanding. \[⚑ Also applies to senior ICs — flagged for future Engineering Track review\]
LSC-INV-001,Inventory Accuracy,Logistics & Supply Chain,Inventory Control,Operational,and updates systems to maintain accurate inventory. Supports planning and reduces operational risk.
LSC-INV-002,Lot & Serial Tracking,Logistics & Supply Chain,Inventory Control,Operational,Records and maintains lot or serial numbers for traceability. Ensures compliance with quality and regulatory requirements.
LSC-INV-003,Cycle Counting (Logistics),Logistics & Supply Chain,Inventory Control,Operational,Conducts scheduled cycle counts to verify inventory accuracy. Identifies trends or recurring issues and reports them promptly.
LSC-PLAN-001,Demand Awareness,Logistics & Supply Chain,Planning & Coordination,Operational,Understands demand patterns and communicates potential shortages or surpluses. Supports proactive planning and inventory alignment.
LSC-PLAN-002,Lead Time Awareness,Logistics & Supply Chain,Planning & Coordination,Operational,Understands supplier lead times and their impact on operations. Communicates delays or risks to stakeholders.
LSC-PLAN-003,Cross-Functional Coordination (Logistics),Logistics & Supply Chain,Planning & Coordination,Behavioral,and service teams to align material flow. Supports smooth operations across departments.
LSC-PROC-001,Purchase Order Awareness,Logistics & Supply Chain,Procurement Support,Operational,and documentation. Ensures receiving and inventory actions align with PO details.
LSC-PROC-002,Vendor Communication,Logistics & Supply Chain,Procurement Support,Behavioral,or delivery issues. Builds productive relationships that support supply continuity.
LSC-PROC-003,Material Quality Verification,Logistics & Supply Chain,Procurement Support,Technical,or non‑conformance. Escalates issues to procurement or quality teams as needed.
LSC-REC-001,Receiving Procedures,Logistics & Supply Chain,Receiving,Operational,and document discrepancies. Ensures accuracy to support inventory integrity and operational flow.
LSC-REC-002,Bill of Lading Verification,Logistics & Supply Chain,Receiving,Operational,and packing lists. Identifies mismatches and escalates promptly.
LSC-REC-003,Unloading Safety,Logistics & Supply Chain,Receiving,Safety,Uses proper techniques and equipment to unload materials safely. Identifies hazards and prevents damage or injury.
LSC-SAFE-001,Forklift Safety Awareness,Logistics & Supply Chain,Safety & Compliance,Safety,and load limits. Supports safe equipment operation and hazard prevention.
LSC-SAFE-002,Hazard Communication (Logistics),Logistics & Supply Chain,Safety & Compliance,Safety,and visitors. Supports safe warehouse and yard operations.
LSC-SAFE-003,Chemical Handling (Logistics),Logistics & Supply Chain,Safety & Compliance,Safety,and handling chemicals. Uses PPE and documentation to maintain compliance and safety.
LSC-TRANS-001,Load Planning,Logistics & Supply Chain,Transportation,Operational,Understands the purpose and basic steps involved in load planning. Can complete routine tasks with clear instructions and support from experienced team members.
LSC-TRANS-004,Load Securement,Logistics & Supply Chain,Transportation,Safety,or safety hazards. Follows regulatory and company standards.
LSC-WH-001,Put‑Away Procedures,Logistics & Supply Chain,Warehousing,Operational,Places received materials in designated storage locations using established systems. Ensures accuracy to support efficient retrieval.
LSC-WH-002,Warehouse Organization,Logistics & Supply Chain,Warehousing,Operational,orderly storage areas to support safety and efficiency. Identifies and corrects hazards or obstructions.
